,met_id,cluster,distance,polarity,target_group,target_ppto,target_word,source_image_schema_group,source_word,llm_expl,sentence
2048,2b0054b4-ecea-44a4-855f-b3b6000e929c_324_11_13,1,0.3508210903501123,right,Politics,thing,sense,other,make,"The verb 'make' is used metaphorically to convey the abstract concept of coherence or logicality. The source verb 'make' (originally referring to physical creation) is applied to the target noun 'sense' to describe the abstract state of something being understandable or logical, which transcends its literal physical action.","'Well, what's scary is that it doesn't even make any sense that they're doing this, that it gets to that point.'"
1482,6719607c-9932-11ee-9017-eb3e8a6583cb_29_41_42,1,0.3627675358649068,right,Politics,thing,sense,other,makes,"'Makes' is used metaphorically to convey that the situation is logical or reasonable ('makes sense'), which transcends its literal meaning of creating or causing something physical. The verb here characterizes the target noun 'sense' conceptually, implying coherence rather than a tangible action.","'Yeah, listen, Bud Light, you know, I'm getting in, to this point in my life and in my career where I want to be with people and sponsors that I am aligned with, which makes sense in this crazy world that we live in these days.'"
4876,cf6660da-d345-48f8-a598-24311470f88d_354_3_0,1,0.3776154810248945,left,Politics,thing,It,other,make,"The verb 'make' is used metaphorically to describe the abstract concept of 'sense' (understanding or logical coherence). Literally, 'make' implies creating or causing something physical to exist, but here it conveys a conceptual process of comprehending or interpreting meaning, which transcends its literal action.",'It didn't make sense.'
3980,cf6660da-d345-48f8-a598-24311470f88d_354_3_4,1,0.3944967622801494,left,Politics,thing,sense,other,make,"The verb 'make' is used metaphorically to convey that the situation lacks logical coherence or reason, rather than describing a physical action. It abstractly applies the concept of 'creating' to the abstract noun 'sense', implying that the scenario does not align with rational understanding.",'It didn't make sense.'
4654,205cf4e6-f82d-11ee-9742-8fe73dcf2196_271_4_3,1,0.39742108164400963,right,Politics,thing,it,other,makes,"The verb 'makes' is used metaphorically to convey the abstract action of communicating or asserting a point. The target noun 'it' refers to an abstract idea (the point), and 'makes' here does not describe a physical action but rather the conceptual act of presenting or emphasizing an argument, which transcends its literal meaning of creating or producing something tangible.","'Either way, it makes the point, because I bet you some liberals believe this.'"
3870,2b0054b4-ecea-44a4-855f-b3b6000e929c_141_15_18,1,0.4296080390997752,right,Security Concerns,thing,environment,other,make,"The verb 'make' is used metaphorically here to describe the process of creating or establishing a safe environment, which is an abstract concept. While 'make' can have literal meanings involving physical creation, in this context, it transcends its original meaning to imply the construction of a condition or state, not a tangible object. This usage aligns with metaphorical application where the verb is applied to an abstract noun to signify conceptual creation rather than physical action.","'Well, it certainly begs the question of, how they secure their facilities and make a safe environment for their students and faculty.'"
2042,2b0054b4-ecea-44a4-855f-b3b6000e929c_324_11_7,1,0.431661597693097,right,Politics,thing,it,other,make,"The verb 'make' is used metaphorically to convey the concept of something being 'understandable' or 'logical,' rather than describing a physical action. The phrase 'make sense' is a common metaphor where 'make' represents the abstract process of deriving meaning or coherence, not a literal physical action.","'Well, what's scary is that it doesn't even make any sense that they're doing this, that it gets to that point.'"
1009,63e3cb5e2b0e2f0011270e5c_17_10_9,1,0.4366563831428849,left,Media',thing,it,other,makes,"The verb 'makes' is used in the phrasal verb 'makes sense', which conveys an abstract conceptual meaning (i.e., logical coherence) rather than a physical action. It does not describe a tangible action but instead characterizes the target noun 'it' as being reasonable or coherent, which is a metaphorical extension of the verb's original meaning.","'Obviously, we'll try to cover it if it makes sense within the coverage here, which is very, very likely.'"
1004,63e3cb5e2b0e2f0011270e5c_17_10_11,1,0.44830865619079213,left,Media,thing,sense,other,makes,"The verb 'makes' is used metaphorically to characterize the target noun 'sense' by implying that the situation is logical or coherent, rather than describing a physical action of creating or causing 'sense' to exist.","'Obviously, we'll try to cover it if it makes sense within the coverage here, which is very, very likely.'"
1485,6719607c-9932-11ee-9017-eb3e8a6583cb_29_41_40,1,0.48091649087892646,right,Politics,thing,which,other,makes,"The verb 'makes' is used metaphorically to describe the target noun 'which' by conveying that the situation (referenced by 'which') is logical or coherent. The phrase 'makes sense' is an idiomatic expression where 'makes' transcends its literal meaning of causing something to exist physically, instead implying conceptual coherence, which is a metaphorical use.","'Yeah, listen, Bud Light, you know, I'm getting in, to this point in my life and in my career where I want to be with people and sponsors that I am aligned with, which makes sense in this crazy world that we live in these days.'"
5198,469d94c6-769a-4c8b-b37b-b2a6001b7d9b_107_12_11,1,0.5064847261551825,right,Power Dynamics.,thing,which,other,makes,"The verb 'makes' is used metaphorically to characterize the target noun 'which' by conveying the abstract concept of illogicality or absurdity. Here, 'makes' does not describe a physical action but instead part of the idiomatic expression 'makes no sense,' which metaphorically signifies that the situation (referenced by 'which') lacks logical coherence.","'Rather, they chose to leave these people in space, which makes no sense to me.'"
3576,63e3cb5e2b0e2f0011270e5c_180_8_7,1,0.524133065950201,left,Politics,thing,what,other,makes,"The verb 'makes' is used metaphorically to denote causation or contribution to an abstract concept ('what makes our country great'), rather than describing a physical action. It signifies the factors or reasons that contribute to the country's greatness, transcending its literal meaning of creating something tangible.",'This is an absolutely perfect picture of what makes our country great.'
6245,95b4c966-203b-4217-bc66-d83052b0cd99_355_49_45,1,0.5312073884636412,left,Southern States,place,states,other,make,"The verb 'make' is used metaphorically to describe the legal action of states enacting laws. Here, 'make' signifies the conceptual process of states legislating or regulating, which transcends its literal meaning of physical creation. The metaphorical aspect lies in representing the abstract legal authority of states as a tangible action.","'After I was forced to carry a dead fetus for weeks, after asking God if I was ever going to be able to raise a child, and I asked because the same medicine used to treat my failed pregnancies is the same medicine states like Texas would make illegal.'"
6535,0e5efcaa-8b85-11ed-95fd-3fc9ab0ea880_5_13_11,1,0.6303289606800212,right,Public.,person,you,force,made,"The verb 'made' is used metaphorically to describe the target noun 'you' as assigning the show the role of a home. This transcends the literal physical action of creating something, instead implying a symbolic or emotional relationship where the show becomes a metaphorical home for 'you'.","'The election season has started, and I'm so honored you've made this show your home.'"
7185,db3645a8-866b-11ee-89ee-ab796eb80dd3_42_11_12,1,0.6405802210625443,left,Media'}//**. The metaphor ,thing,money,other,make,"The verb 'make' is used metaphorically to describe the act of generating income ('money') through activities like copyright monetization, which does not involve a physical action of creating money. The metaphorical aspect lies in using 'make' to convey earning or producing money rather than a literal physical process.","'That's that because Donald Trump has copyrighted it, they make money off of this thing and there would be flagged on YouTube.'"
2959,13b33b9c-d276-11ee-9b50-07cb70f0898b_23_11_10,1,0.7326354683101095,left,Media and Political Commentators.,person,they,other,make,"The verb 'make' is used metaphorically to describe the effect of the photo on the subject's appearance. Since 'they' refers to the photo (an inanimate object), the verb 'make' does not describe a physical action but rather an abstract effect, attributing an intentional or causal role to the photo, which is not literal.",'And then it's like this photo of him where they make him look like he's about to cry.'
971,63e3cb5e2b0e2f0011270e5c_32_3_0,1,0.8504426640054158,left,Policy Challenges',thing,They,other,invented,"The verb 'invented' is used metaphorically to describe the creation or development of 'they' (a group of people), transcending its literal meaning of creating physical objects. This metaphor implies a conceptual or abstract process of forming or establishing 'they' rather than a tangible invention.",'They'll be invented.'
7097,10672768-1932-4440-9494-b3cd0026c419_393_48_31,2,0.4554178731478565,right,Power Dynamics}.,thing,influence,force,eliminated,"The verb 'eliminated' is used metaphorically to describe the removal of an abstract concept ('influence') rather than a physical action. The verb transcends its literal meaning of removing tangible entities to convey the absence of intangible effects, implying a conceptual rather than physical eradication.","'And, you know, we see, you know, one of the the natural consequences of the president taking Maduro and bringing him to this country is that the influence of China, Iran and and Vladimir Putin and Russia in our hemisphere has basically been eliminated.'"
7239,db3645a8-866b-11ee-89ee-ab796eb80dd3_90_0_2,2,0.4557161075100091,left,Conspiracies,thing,source,force,eliminating,"The verb 'eliminating' is used metaphorically to describe the action of removing the 'source' (a cause or origin) of potential prejudice. Here, 'eliminating' transcends its literal meaning of physically removing something, instead applying to an abstract concept (a cause) to signify the eradication of its influence, which is not a physical action.",'eliminating that source of potential prejudice.'
5026,8ab20af6-746b-42e5-b500-b22f002135ae_112_3_5,2,0.4562206287370411,right,Legal and Social Issues.,thing,indoctrination,force,eliminated,"The verb 'eliminated' is used metaphorically to describe the removal of an abstract concept ('indoctrination'), transcending its literal meaning of a physical action. The verb does not refer to a tangible process but instead metaphorically conveys the eradication of an ideological or systemic idea.",'crazy uprisings and eliminated the indoctrination and eliminated the DEI and the critical gender theory.'
5040,8ab20af6-746b-42e5-b500-b22f002135ae_112_7_9,2,0.463522944508914,right,Institutional Frameworks,thing,DEI,force,eliminated,"The verb 'eliminated' is used metaphorically to describe the removal of DEI (Diversity, Equity, and Inclusion) as an abstract concept or policy framework, rather than a physical entity. The verb transcends its literal meaning of physically removing something, instead conveying ideological rejection or opposition to DEI, which is not a tangible object.",'crazy uprisings and eliminated the indoctrination and eliminated the DEI and the critical gender theory.'
347,8ab20af6-746b-42e5-b500-b22f002135ae_285_4_2,2,0.48099834806568553,right,Politics,thing,bureaucracy,force,eliminated,"The verb 'eliminated' is used metaphorically to describe the removal or eradication of the bureaucracy, which is an abstract entity. The verb transcends its literal meaning (e.g., eliminating a competitor in a game) to convey the idea of the bureaucracy being phased out or removed, without referring to a physical action.",'The DEI bureaucracy totally eliminated and enrollment records are being broken.'
1519,2b0054b4-ecea-44a4-855f-b3b6000e929c_234_36_34,2,0.49231236479132473,right,Other,person,they,spatial motion,remove,"The verb 'remove' is used metaphorically to describe the act of excluding or rejecting individuals from Western civilization. It transcends its literal physical action (e.g., taking something away) to convey a conceptual process of social exclusion, implying the removal of people from a group based on ideological or cultural criteria, rather than a tangible action.","'I fear that unchecked immigration and the rise of virulent anti-Semitism and this cowardly appeasement that we keep talking about um has forever changed europe and it's i i don't know how they ever remove people that have no desire to be part of of western civilization people that want sharia courts uh people that want you know to be separate and apart not assimilate am i wrong yeah no and i'll tell you what john i i i feel that we in the west in the United States and our European brothers and sisters, we have started valuing external cultures over our own.'"
2230,95b4c966-203b-4217-bc66-d83052b0cd99_256_42_44,2,0.4992739463930168,left,Democrats,person,bastards,spatial motion,remove,"The verb 'remove' is used metaphorically to signify the legal or political action of eliminating 'bastards' through legislative processes, rather than describing a physical act of taking them away. The context implies removing them from power or accountability, not a literal physical removal.","'They are gonna get away with it until they don't get away with it because we're smart enough to figure out how to fight back and how to protect women and how to make this legal and how to remove these bastards come November so that we can pass an actual law that should have been passed a long time ago, no thanks to the Democrats who didn't do this.'"
1554,2b0054b4-ecea-44a4-855f-b3b6000e929c_234_36_37,2,0.5285645162342814,right,Public,person,people,spatial motion,remove,"The verb 'remove' is used metaphorically to describe the conceptual process of excluding or rejecting individuals who do not align with Western civilization, rather than referring to a literal physical action of taking people away.","'I fear that unchecked immigration and the rise of virulent anti-Semitism and this cowardly appeasement that we keep talking about um has forever changed europe and it's i i don't know how they ever remove people that have no desire to be part of of western civilization people that want sharia courts uh people that want you know to be separate and apart not assimilate am i wrong yeah no and i'll tell you what john i i i feel that we in the west in the United States and our European brothers and sisters, we have started valuing external cultures over our own.'"
1310,3bdc5bfd-9705-46fd-99d7-b2360117c606_537_15_13,2,0.560110432582869,right,Democrats,person,she,force,eliminate,"The verb 'eliminate' is used metaphorically to describe the removal of a procedural tactic (the filibuster) rather than a physical action. It represents the conceptual removal of a political procedure, not a literal act of eliminating something tangible.","'why she co-sponsored the Green New Deal, 93 trillion, and said she'd eliminate the filibuster.'"
3367,8ab20af6-746b-42e5-b500-b22f002135ae_184_16_14,2,0.5831064865811212,right,Conspiracies.,thing,stuff,force,eradicated,"The verb 'eradicated' is used metaphorically to describe the removal of an abstract concept ('stuff') rather than a physical action. While 'eradicated' can have a literal meaning of complete destruction, in this context, it is applied to an abstract or unspecified entity ('stuff'), transcending its original physical connotation to convey the idea of eliminating an intangible issue.",'None of your institutions in your state are eligible for student loans unless this stuff is eradicated.'
1642,95979075-4c7d-4001-8052-b3ca00215593_168_14_17,2,0.5957517570742619,right,Venezuela's Government Supporters,person,minister,spatial motion,removed,"The verb 'removed' is used metaphorically to describe the political ousting of the prime minister from power, transcending its literal physical action. It signifies the removal from a position of authority rather than a tangible, physical displacement.","'So there was a coup, a U.S. and Venezuela The British coup that removed the prime minister installed the Shah into power.'"
6063,8ab20af6-746b-42e5-b500-b22f002135ae_313_5_6,2,0.6364337226208676,right,Conspiracies',thing,that,force,eradicate,"The verb 'eradicate' is used metaphorically to describe the removal of an abstract concept ('that'), as 'that' refers to an unspecified idea, problem, or entity rather than a physical object. The verb transcends its literal meaning of removing tangible things to convey the elimination of an abstract target.",'And so you had to eradicate that.'
1302,3bdc5bfd-9705-46fd-99d7-b2360117c606_537_15_17,2,0.6685414048862135,right,Politics,thing,filibuster,force,eliminate,"The verb 'eliminate' is used metaphorically here. While 'eliminate' literally means to remove something completely, the target noun 'filibuster' refers to a procedural tactic in legislative processes. The verb does not describe a physical action but rather signifies the removal of a procedural practice, which is a metaphorical extension of the verb's original meaning.","'why she co-sponsored the Green New Deal, 93 trillion, and said she'd eliminate the filibuster.'"
3132,cc04eafc-ab03-11ec-82cc-631625b14811_399_33_37,2,0.7205288399362604,right,Urban Areas,place,city,force,wiping,"The verb 'wiping' is used metaphorically to convey the destruction of the city, not as a literal physical action. 'Wiping out' is a common metaphor for annihilation or erasure, implying the city is being eliminated or rendered non-existent, which transcends the literal meaning of the verb.","'I mean, Putin has so much blood on his hands over this, killing, you know, women, children, men, indiscriminate bombing, killing, you know, wiping out an entire city.'"
6907,10672768-1932-4440-9494-b3cd0026c419_88_10_12,2,0.7425422924804145,right,U.S. Presidents',person,Obama,force,abolish,"The verb 'abolish' is used metaphorically here. Literally, 'abolish' refers to ending a law, institution, or practice, not a person. Applying it to 'Obama' (a person) transcends its physical action, implying a metaphorical removal or elimination of his status or influence, rather than a literal act of abolishing.",'Osama bin Laden himself said that he's bullish to abolish Barack Obama.'
3280,2b0054b4-ecea-44a4-855f-b3b6000e929c_103_33_35,2,0.7498408560436263,right,Security Concerns,thing,millions,spatial motion,wipe,"The verb 'wipe' is used metaphorically to describe the destructive action of eliminating 'millions of people.' It transcends its literal meaning of physically removing something (e.g., wiping a surface) and instead conveys the idea of annihilating a large group, implying catastrophic harm without direct physical contact.",'But that doesn't mean we don't use the might and force of the United States military to knock out a threat before it becomes a clear and present danger that could wipe out millions of people.'
1493,e31bccb2-7587-11ec-ba64-9f837eadd43c_133_3_4,2,0.8392264291734893,right,Citizens',person,us,other,detached,"The verb 'detached' is used metaphorically to describe the separation of 'us' from a constitutional republic, which is an abstract concept rather than a physical action. The source verb 'detached' (originally referring to physical separation) is applied to a group of people in a non-literal context, implying a metaphorical disconnection from a political system.",'They have completely detached us from a constitutional republic.'
4156,9a612080-75f3-485d-b082-63da8a572adb_207_22_21,3,0.19467488786559553,left,Republicans,person,you,other,know,"The verb 'know' is used metaphorically here as a conversational filler rather than to convey actual knowledge. It serves a pragmatic function in the speaker's utterance, indicating hesitation or seeking agreement, rather than describing a physical action or literal cognitive process related to the target noun 'you'.","'Because what you do is you go to those four, five, six moderate liberal Republicans and you say, you know, you're not part of this anymore.'"
5090,cc04eafc-ab03-11ec-82cc-631625b14811_460_17_16,3,0.200662940730596,right,Citizens',person,you,other,know,"The verb 'know' is used metaphorically here as a conversational filler or discourse marker, not to convey actual knowledge about the target noun 'you.' It serves to signal hesitation or transition in speech rather than describing a physical action or literal understanding.","'But it absolutely they said with our own eyes every day, they're infusing, you know, X number of people.'"
4883,2b0054b4-ecea-44a4-855f-b3b6000e929c_2_4_3,3,0.2238286307408212,right,Citizens,person,you,other,know,"The verb 'know' is used metaphorically here as a discourse marker or conversational filler, rather than indicating actual knowledge of the target noun 'you'. It serves to signal the speaker's hesitation or to prompt the listener, transcending its literal meaning of possessing knowledge.","'Question, do you know Pure Talk's favorite holiday, President's Day, because they believe wireless service should only cost you a couple of presidents, you know, just a Jackson and a Lincoln to be exact.'"
3859,661d9866-4392-4ad4-9fbe-b06000015ba6_434_3_2,3,0.22927512305349773,right,Government Officials',person,you,other,know,"The verb 'know' is used as a conversational hesitancy filler rather than conveying actual knowledge. It does not describe a physical action or literal understanding of the target noun 'you,' but instead serves a rhetorical function to signify uncertainty or pause, transcending its literal meaning.","'of, you know, the varying chairman people in those states, make sure what they said is legal, you know, don't do anything wrong and and just do everything you can do.'"
3684,469d94c6-769a-4c8b-b37b-b2a6001b7d9b_110_6_5,3,0.23344214587940587,right,Judges and Political Figures,person,you,other,know,"The verb 'know' is used metaphorically here as a conversational filler or hesitation marker, rather than describing a physical action or actual knowledge. It does not directly convey understanding or awareness of the target noun 'you' but instead reflects the speaker's uncertainty or attempt to articulate a point, transcending its literal meaning of acquiring knowledge.","'you know with their phony you know uh made for prime time predetermined outcome hearings that we all know were phony and that they purposely omitted information that would have been critical and in in in terms of the public's understanding of the events that day the five people that are on record saying that donald trump authorized the use of guard forces in the days leading up to this muriel bowser in writing Denying the use of guard troops, it became her authority, not Donald Trump's authority.'"
302,8ab20af6-746b-42e5-b500-b22f002135ae_288_17_16,3,0.23753689516112397,right,Citizens',person,you,other,know,"The verb 'know' is used metaphorically in the phrase 'you know' to convey a sense of shared understanding or rhetorical emphasis, rather than describing a literal action or attribute of the target noun 'you'. It functions as a filler to signal hesitation or seek agreement, transcending its literal meaning of acquiring knowledge.","'And I can tell you that in the Northeast, people that I know that, you know, maybe in the past would have been looking at Harvard and Yale and Princeton.'"
2083,2b0054b4-ecea-44a4-855f-b3b6000e929c_322_3_2,3,0.2489074919361673,right,Judges and Political Figures,person,you,other,know,"The verb 'know' is used metaphorically here as a conversational filler or hesitation marker, rather than conveying literal knowledge about the target noun 'you'. It does not describe a physical action or directly relate to the noun in its literal sense, instead serving a rhetorical function to signal the speaker's uncertainty or to introduce a statement.","'And, you know, the fact that Great Britain has Sharia courts, as I've been saying, I mean, no-go zones in France and elsewhere, it's chilling.'"
805,95b4c966-203b-4217-bc66-d83052b0cd99_43_3_2,3,0.2533707391156857,left,Citizens',person,you,other,know,"The verb 'know' is used metaphorically here to convey a conversational hesitation or rhetorical device rather than literal knowledge. It does not describe a physical action or direct epistemic certainty about the target noun 'you,' but instead functions as a filler to signal the speaker's attempt to justify or soften their statement.","'Because, you know, why blame us?'"
5698,cc04eafc-ab03-11ec-82cc-631625b14811_61_11_10,3,0.2746792284316215,right,Voters,person,you,other,know,"The verb 'know' is used metaphorically here as part of the phrase 'you know,' which functions as a discourse marker or hesitation device rather than conveying literal knowledge. It does not describe a physical action or direct interaction with the target noun 'you,' but instead signals the speaker's attempt to clarify or introduce a thought, transcending its literal meaning.","'So they've withdrawn from the battlefield to use, you know, a comparative.'"
6685,469d94c6-769a-4c8b-b37b-b2a6001b7d9b_2_30_29,3,0.2902653557137419,right,Citizens',person,you,other,know,"The verb 'know' is used metaphorically here as a discourse marker or conversational filler, indicating the speaker's own understanding or adding an explanatory remark, rather than conveying literal knowledge of the target noun 'you'.","'Question, do you know Pure Talk's favorite holiday, President's Day, because they believe wireless service should only cost you a couple of presidents, you know, just a Jackson and a Lincoln to be exact.'"
6257,661d9866-4392-4ad4-9fbe-b06000015ba6_350_1_0,3,0.3089234188888004,right,Government Officials.,person,You,other,know,"The verb 'know' is used metaphorically here to signal the listener's awareness or acceptance of the following statement, rather than describing a physical action or direct knowledge. It functions as a conversational cue, not a literal characterization of the target noun 'You'.","'You know, the FBI couldn't even give Christopher Steele a million dollars for, and that became the basis of four FISA warrants to spy on Trump.'"
2810,95979075-4c7d-4001-8052-b3ca00215593_123_3_2,3,0.3896633726102593,right,Citizens',person,you,other,know,"The verb 'know' is used metaphorically here to imply the listener's capacity to comprehend or imagine the situation, rather than conveying literal knowledge. The phrase 'you know' functions as a conversational filler, signaling the speaker's attempt to prompt the listener's understanding or to express uncertainty, rather than asserting actual knowledge of the unrest.","'And, you know, what are you to make of the unrest that we now see daily in Inside of Iran.'"
1356,6719607c-9932-11ee-9017-eb3e8a6583cb_54_13_12,3,0.45068296490401155,right,Republicans,person,I,other,know,"The verb 'know' is used metaphorically to characterize the target noun 'I' by conveying self-awareness and understanding of one's identity, which transcends literal factual knowledge. The use of 'know' here implies a deeper, introspective grasp of 'I' rather than a physical or factual action.","'I don't ever, I don't care what people, I know who I am, I know what I stand for, I know what I believe in, and the people who are close to me know, and I'm on the right side of this.'"
447,f74de610-99d5-11ee-996f-3fece011ee96_260_23_22,3,0.5095872753505448,right,Capitol Riot Participants,person,you,other,know,"The verb 'know' is used metaphorically to convey the speaker's assertion that the listener is aware of the situation described (kneeling, national anthems, etc.), which transcends its literal meaning of possessing factual knowledge. Here, 'know' functions as a rhetorical device to signal the listener's presumed understanding, rather than describing a physical action or direct cognitive awareness.","'You know, when they were kneeling, national anthems and all that, that was kind of telling us to, you know, telling America to kiss our ass.'"
1336,6719607c-9932-11ee-9017-eb3e8a6583cb_47_5_4,3,0.5174210933034076,right,Citizens,person,you,other,know,"The verb 'know' is used metaphorically here as a conversational filler to address the listener, rather than indicating literal knowledge of history. It functions as a rhetorical device to signal the speaker's awareness of the listener's potential understanding, transcending its literal meaning of possessing knowledge.","'And as I, you know, history has shown me with relationships that I've had with other beer companies, I, who lean more this way, I, who consider myself a patriot, I don't go crazy over the whole patriot thing, but I consider myself a proud American.'"
6629,95979075-4c7d-4001-8052-b3ca00215593_280_1_0,3,0.6503368407611979,right,Judges and Political Figures,person,You,other,know,"The verb 'know' is used metaphorically to imply an understanding or awareness, transcending its literal meaning of being aware of information. In the context of 'winking Tony Blinken,' 'know' suggests a non-physical, conceptual awareness or recognition, rather than describing a direct physical action.","'You know, winking Tony Blinken.'"
2833,b596eadb-5fb6-493c-bad0-aee500175236_369_3_1,4,0.33125285505769864,right,Election Integrity Advocates,person,they,other,see,"The verb 'see' is used metaphorically to represent the abstract concept of understanding or awareness rather than a literal physical action. Here, 'see' transcends its original meaning of visual perception to imply that 'they' are cognitively perceiving or comprehending the situation, which is not a physical act.","'Because they all see what we see, that all of this has been preventable.'"
4576,cc04eafc-ab03-11ec-82cc-631625b14811_104_5_4,4,0.4004660837323747,right,Political Commentators',person,you,other,see,"The verb 'see' is used metaphorically to describe the mental process of recognizing or perceiving abstract connections (parallels) between two entities, rather than a literal physical action of sight. The verb transcends its literal meaning to convey cognitive interpretation.",'And I'm sure you see the parallels between Saddam Hussein and Putin.'
